4000
Atoms. Timestep: 0
1 3.94238 24.0773 -2.07576
1 -3.3203 24.3373 8.82642
1 3.65923 31.8976 2.2925
1 8.36564 24.9961 3.67215
1 9.67992 23.6731 -2.67718
1 11.9889 23.1462 2.43516
1 11.2264 31.9133 3.52533
1 8.65925 24.5406 -0.197657
1 15.8489 27.6673 6.81792
1 6.81531 26.8882 -0.0178159
1 11.2703 18.4418 9.39685
1 8.78999 24.4734 2.34915
1 16.4604 27.7692 2.55935
1 7.56507 22.0778 0.749548
1 12.0418 23.9248 -2.04996
1 13.356 29.0314 5.85137
1 7.42545 26.2778 1.16886
1 14.4738 28.6522 4.88367
1 16.2165 26.392 1.89498
1 10.2147 24.5276 -0.46907
1 8.72335 24.3482 4.86062
1 11.9523 32.72 2.43881
1 9.43761 23.1855 2.27645
1 10.6658 23.0415 3.02217
1 10.6614 24.0105 -1.72624
1 8.2767 25.0854 1.11282
1 14.3289 22.4343 2.02343
1 8.75752 21.9613 1.56096
1 15.6607 28.0807 5.41759
1 8.26123 24.9047 6.13302
1 15.1165 23.7012 1.62464
1 12.6049 32.131 1.27727
1 13.1662 22.5072 2.91474
1 7.75943 26.2699 6.24751
1 12.9076 33.0272 0.138132
1 16.4266 23.9075 2.24221
1 20.0772 22.818 -2.22136
1 24.2302 32.6733 0.472154
1 14.9583 26.0982 1.22476
1 24.2075 24.8034 0.105962
1 21.7924 25.4458 5.48683
1 13.1798 23.8832 -1.05801
1 19.1975 21.8462 8.08835
1 17.0284 25.2286 2.36837
1 22.3932 28.6637 0.0566069
1 13.8919 20.8934 4.67254
1 22.0965 25.0365 -1.79328
1 19.7727 29.0156 12.4822
1 13.247 24.6275 0.274327
1 23.5405 31.3793 0.532728
1 22.2153 31.1699 0.0280713
1 23.1773 23.7881 0.0502817
1 18.2898 22.0507 6.96935
1 14.4359 24.781 1.06388
1 16.0172 21.9913 5.81569
1 23.0678 25.1927 6.04396
1 22.2486 21.4254 0.84541
1 18.4044 25.4147 2.89598
1 22.1531 23.8559 -0.931767
1 15.3127 20.9163 5.01775
1 19.1125 29.6175 8.12122
1 15.7533 23.4347 5.52362
1 23.2452 22.6439 0.936297
1 19.0782 26.6424 3.16721
1 21.0634 20.2705 2.68721
1 14.8947 26.7194 7.47981
1 19.1905 27.7089 2.21143
1 24.9177 23.4853 6.88912
1 28.3051 21.9059 0.391193
1 26.1071 24.852 3.11509
1 23.7866 28.5981 -0.0657931
1 25.468 24.5324 0.763655
1 28.0942 25.7081 7.69017
1 22.9886 26.1325 -1.6216
1 25.9491 24.025 7.66989
1 25.9589 25.4162 1.87772
1 28.3747 27.456 5.84925
1 22.586 19.1316 6.87285
1 31.3053 24.795 2.91993
1 25.5337 29.1513 8.43572
1 23.9287 26.0548 -0.562427
1 25.9505 27.8556 6.27141
1 27.1577 28.044 5.46291
1 26.2628 23.4854 0.282155
1 21.2735 22.5909 7.14867
1 24.5422 27.3507 -0.135064
1 27.1816 29.1195 4.4061
1 29.3761 27.7553 8.09301
1 27.5516 23.0817 0.83841
1 26.4464 26.7796 1.55214
1 31.4886 23.3769 2.79832
1 22.5167 20.0851 7.96783
1 28.6584 28.6395 9.17303
1 22.5332 23.219 7.65209
1 30.5661 22.4072 3.41949
1 25.9782 27.3812 0.300011
1 29.9264 21.333 2.72478
1 23.5633 23.9545 6.83708
1 26.9149 27.9437 -0.607638
1 36.4717 23.0643 4.17808
1 35.688 19.8362 1.28825
1 37.3922 22.8405 5.29276
1 33.4636 27.8386 0.338794
1 36.2461 22.0554 3.18867
1 35.4442 25.3225 10.0968
1 31.9511 25.7939 2.0415
1 31.0856 20.2176 10.9166
1 32.4877 22.0243 0.847105
1 38.4268 28.5481 6.10844
1 28.0403 19.6661 2.50935
1 37.4539 25.5408 0.7352
1 33.9101 27.3131 9.90653
1 32.1849 27.2554 2.4484
1 37.2186 23.621 6.59924
1 37.2012 29.0582 6.845
1 37.1583 20.9871 3.07434
1 31.6405 17.7276 5.89908
1 33.0498 28.1773 1.70892
1 32.7015 22.8448 2.02065
1 37.492 22.999 7.94662
1 36.9042 19.8814 2.04263
1 33.0773 26.6994 -0.352885
1 37.854 26.5101 -0.259417
1 35.0621 22.1112 2.34553
1 36.6287 28.3565 7.94331
1 35.5135 24.2427 4.25238
1 38.0585 20.7749 4.17847
1 33.5753 29.3837 2.38187
1 38.0308 21.5267 5.34573
1 34.0326 23.1191 2.5227
1 34.723 30.0721 1.97576
1 2.86511 31.6033 5.57993
1 4.7999 31.0577 1.81343
1 5.13651 32.7566 5.47472
1 -0.066225 37.5497 3.0294
1 4.10533 32.1232 6.21312
1 7.69091 35.2601 7.19948
1 -0.672722 33.6089 0.416983
1 3.25233 31.419 9.83322
1 -1.92114 40.6611 -3.72187
1 3.53264 36.8215 1.07978
1 -0.441183 29.7446 6.45638
1 8.61235 37.005 0.915794
1 7.70318 36.5789 7.765
1 -1.12771 35.0338 0.386348
1 5.83195 35.889 5.60947
1 4.72664 35.6301 4.56616
1 6.38313 33.4244 6.07772
1 3.13463 31.4664 8.36516
1 0.0830035 36.3286 2.32882
1 1.87942 30.8973 6.2595
1 6.09463 37.2039 6.00155
1 5.81463 28.8668 0.922639
1 -0.305042 36.1658 0.924796
1 4.66309 29.8967 1.07101
1 0.701579 30.2444 5.57663
1 6.96931 37.5169 7.07634
1 2.0257 30.8904 7.71715
1 3.42009 29.6535 0.211226
1 4.73785 37.3289 -1.05153
